Query_nr,doc_nr
174249,352144
174249,211324
174249,327023
174249,333580
174249,415192
174249,323549
174249,203144
174249,470814
174249,167897
174249,430678
320792,85081
320792,54367
320792,327470
320792,112814
320792,285694
320792,246395
320792,329416
320792,155933
320792,210043
320792,456695
1090270,492479
1090270,482756
1090270,297862
1090270,129716
1090270,377588
1090270,196751
1090270,185261
1090270,374960
1090270,35057
1090270,202154
1101279,181746
1101279,1228
1101279,114065
1101279,453030
1101279,131590
1101279,451734
1101279,433524
1101279,240109
1101279,294806
1101279,481737
201376,418950
201376,338341
201376,45517
201376,487177
201376,96506
201376,171336
201376,457873
201376,122856
201376,195947
201376,448114
54544,52880
54544,44280
54544,293476
54544,245635
54544,75530
54544,439069
54544,114298
54544,158458
54544,11685
54544,283611
118457,457327
118457,186197
118457,1658
118457,183462
118457,170186
118457,84363
118457,377006
118457,225657
118457,495524
118457,40014
178627,460172
178627,278842
178627,320635
178627,371886
178627,367941
178627,27520
178627,30831
178627,239947
178627,46259
178627,228105
1101278,384219
1101278,6739
1101278,170327
1101278,224504
1101278,441777
1101278,50419
1101278,442178
1101278,304377
1101278,204513
1101278,155523
68095,373931
68095,269491
68095,358723
68095,398126
68095,372509
68095,137915
68095,276376
68095,69825
68095,200742
68095,55984
87892,176754
87892,278422
87892,111436
87892,452519
87892,158159
87892,106566
87892,376249
87892,339609
87892,136221
87892,87779
257309,221441
257309,481704
257309,450479
257309,464177
257309,420764
257309,35506
257309,926
257309,298382
257309,105074
257309,227058
1090242,147652
1090242,500552
1090242,340037
1090242,92915
1090242,175278
1090242,143004
1090242,378152
1090242,160613
1090242,350916
1090242,398329
211691,236631
211691,207282
211691,184206
211691,418417
211691,429210
211691,374362
211691,136899
211691,374060
211691,248560
211691,187105
165002,196817
165002,250117
165002,338670
165002,445822
165002,331450
165002,415837
165002,465996
165002,159085
165002,411277
165002,411059
1101276,297420
1101276,499368
1101276,117515
1101276,497585
1101276,226937
1101276,250953
1101276,41827
1101276,416926
1101276,18340
1101276,221686
264827,481349
264827,433503
264827,121113
264827,231158
264827,152001
264827,461166
264827,419840
264827,364257
264827,190480
264827,162684
342285,111155
342285,31538
